 ,number,start.checkin,leave.table,start.voting,end.voting
boston ma suffolk (1),1,13:57:06,13:57:42,13:57:54,14:04:22
boston ma suffolk (1),1,16:43:06,16:43:18,16:43:36,16:48:05
boston ma suffolk (1),1,17:12:20,17:12:50,17:13:10,17:16:50
boston ma suffolk (1),1,16:00:00,16:02:00,16:02:00,16:06:00
boston ma suffolk (1),2,14:06:21,14:07:01,14:07:09,14:11:55
boston ma suffolk (1),2,16:53:25,16:53:38,16:53:58,16:57:06
boston ma suffolk (1),2,16:01:00,16:02:00,16:02:00,16:09:00
boston ma suffolk (1),3,14:13:03,14:14:05,14:14:12,14:19:45
boston ma suffolk (1),3,16:54:46,16:55:48,16:56:04,16:59:57
boston ma suffolk (1),3,17:19:20,17:19:38,17:20:13,17:23:00
boston ma suffolk (1),3,16:01:00,16:01:00,16:01:00,16:08:00
boston ma suffolk (1),4,14:16:38,14:17:20,14:17:31,14:28:39
boston ma suffolk (1),4,16:58:20,16:58:36,16:59:39,17:02:36
boston ma suffolk (1),4,17:24:42,17:25:57,17:26:14,17:30:42
boston ma suffolk (1),4,16:05:00,16:06:00,16:06:00,16:20:00
boston ma suffolk (1),5,14:21:20,14:21:55,14:22:15,14:24:50
boston ma suffolk (1),5,17:00:09,17:00:21,17:00:26,17:04:38
boston ma suffolk (1),5,17:32:33,17:33:13,17:33:17,17:37:00
boston ma suffolk (1),5,16:07:00,16:07:00,16:07:00,16:15:00
boston ma suffolk (1),6,14:28:06,14:28:40,14:28:54,14:31:06
boston ma suffolk (1),6,17:40:01,17:41:32,17:41:49,17:47:05
boston ma suffolk (1),6,16:08:00,16:08:00,16:09:00,16:15:00
boston ma suffolk (1),7,14:33:31,14:34:20,14:34:27,14:38:44
boston ma suffolk (1),7,17:49:51,17:50:38,17:51:05,17:54:17
boston ma suffolk (1),7,16:08:00,16:08:00,16:09:00,16:25:00
boston ma suffolk (1),8,14:38:32,14:39:29,14:39:40,14:42:43
boston ma suffolk (1),8,17:56:31,17:57:42,17:57:56,18:03:04
boston ma suffolk (1),8,16:10:00,16:10:00,16:10:00,16:20:00
boston ma suffolk (1),9,14:40:42,14:41:32,14:41:48,14:46:27
boston ma suffolk (1),9,18:05:53,18:06:35,18:06:56,18:14:30
boston ma suffolk (1),10,16:15:00,16:15:00,16:15:00,16:20:00
boston ma suffolk (2),1,12:00:03,12:01:06,12:01:08,12:07:18
boston ma suffolk (2),3,12:14:49,12:15:30,12:16:01,12:19:10
boston ma suffolk (2),4,12:22:59,12:25:43,12:25:48,12:30:23
boston ma suffolk (2),6,12:35:02,12:37:49,,
boston ma suffolk (2),7,13:02:35,13:04:53,13:04:59,13:08:31
boston ma suffolk (2),8,13:18:21,13:20:10,13:20:12,13:22:41
boston ma suffolk (7),1,12:00:00,12:00:15,12:00:32,12:03:10
boston ma suffolk (7),1,15:33:50,15:42:30,15:42:50,15:54:27
boston ma suffolk (7),2,12:04:15,12:04:29,,
boston ma suffolk (7),2,15:38:53,15:43:11,15:43:18,15:48:36
boston ma suffolk (7),3,12:05:05,12:05:10,12:05:11,12:07:29
boston ma suffolk (7),3,15:57:17,15:57:49,15:57:54,16:02:53
boston ma suffolk (7),4,12:11:32,12:11:58,12:12:02,12:13:35
boston ma suffolk (7),4,16:01:36,16:03:18,16:04:21,16:13:16
boston ma suffolk (7),5,12:15:11,12:16:56,12:17:08,12:20:32
boston ma suffolk (7),5,16:08:22,16:08:58,16:09:02,16:12:48
boston ma suffolk (7),6,12:19:30,12:20:48,12:21:18,12:23:44
boston ma suffolk (7),6,16:01:36,16:03:18,16:04:21,16:13:36
boston ma suffolk (7),7,12:25:15,12:25:53,12:26:12,12:31:56
boston ma suffolk (7),7,16:16:37,16:17:01,16:17:03,16:20:51
boston ma suffolk (7),8,12:33:35,12:34:28,12:34:34,12:36:40
boston ma suffolk (7),8,16:12:12,16:12:28,16:12:31,16:15:54
boston ma suffolk (7),9,12:39:11,12:39:27,12:39:32,12:44:05
