filename,number,start.checkin,leave.table,start.voting,end.voting
fayette ky (1),1,12:25:50,12:26:30,12:26:36,12:29:15
fayette ky (1),2,12:39:01,12:40:02,12:40:16,12:42:22
fayette ky (1),3,12:46:56,12:47:21,12:47:30,12:49:36
fayette ky (1),4,12:52:49,12:53:38,12:54:08,12:57:15
fayette ky (1),5,13:02:18,13:02:40,13:02:48,13:04:07
fayette ky (1),6,13:12:52,13:15:09,13:15:38,13:17:16
fayette ky (1),7,13:20:20,13:21:05,13:21:15,13:23:01
fayette ky (1),8,13:24:50,13:25:37,13:27:08,13:29:33
fayette ky (1),9,13:29:41,13:30:18,13:31:49,13:36:50
fayette ky (10),1,6:14:47,6:15:32,6:18:45,6:20:57
fayette ky (10),2,6:15:55,6:16:23,6:20:00,6:21:13
fayette ky (10),3,6:17:23,6:17:58,6:21:43,6:25:13
fayette ky (10),4,6:21:33,6:22:31,6:25:38,6:30:49
fayette ky (10),5,6:24:03,6:25:04,6:30:08,6:31:48
fayette ky (10),6,6:28:06,6:28:38,6:32:03,6:33:13
fayette ky (10),7,6:31:10,6:31:40,6:33:28,6:34:28
fayette ky (10),8,6:33:21,6:34:09,6:36:43,6:38:29
fayette ky (10),9,6:35:10,6:35:49,6:38:23,6:41:00
fayette ky (10),10,6:37:17,6:37:46,6:40:43,6:41:34
fayette ky (10),12,6:42:28,6:42:45,6:45:08,6:45:07
fayette ky (10),13,6:44:00,6:44:46,6:46:24,6:47:42
fayette ky (10),14,6:48:08,6:48:52,6:54:09,6:55:14
fayette ky (10),16,6:51:29,6:53:46,6:57:14,6:59:10
fayette ky (10),17,6:57:15,6:57:50,6:59:20,7:01:24
fayette ky (10),18,6:59:16,7:00:01,7:01:33,7:03:39
fayette ky (10),19,7:01:37,7:02:15,7:03:52,7:04:58
fayette ky (10),20,7:02:16,7:02:45,7:05:11,7:07:48
fayette ky (10),21,7:04:07,7:04:50,7:08:59,7:11:42
fayette ky (10),22,7:08:23,7:08:47,7:14:40,7:16:51
fayette ky (10),23,7:10:25,7:12:23,7:17:03,7:18:45
fayette ky (10),24,7:14:49,7:15:16,7:18:56,7:20:46
fayette ky (10),25,7:17:08,7:17:38,7:20:58,7:22:10
fayette ky (10),26,7:21:10,7:21:50,7:23:23,7:25:25
fayette ky (10),28,7:24:49,7:25:05,7:26:47,7:27:53
fayette ky (10),29,7:25:28,7:26:10,7:28:08,7:31:58
fayette ky (10),30,7:27:14,7:27:42,7:31:12,7:32:54
fayette ky (10),31,7:29:34,7:30:20,7:33:05,7:34:54
