filename,number,start.checkin,leave.table,start.voting,end.voting
harris-early (1),1,10:08:25,10:09:40,,
harris-early (1),2,10:11:05,10:12:55,10:13:10,10:17:23
harris-early (1),3,10:20:15,10:21:01,10:21:43,10:25:37
harris-early (1),4,10:21:16,10:22:56,10:23:25,10:27:33
harris-early (1),5,10:31:42,10:32:20,10:32:39,10:36:30
harris-early (1),6,10:36:54,10:38:48,10:39:03,10:44:46
harris-early (1),7,10:44:57,,,
harris-early (1),8,10:48:18,10:51:08,10:51:41,11:02:28
harris-early (1),9,11:01:15,11:02:18,11:03:15,11:09:34
harris-early (1),10,11:13:10,,,
harris-early (1),11,11:17:56,11:19:33,,
harris-early (1),12,11:21:03,,,
harris-early (1),13,11:21:54,11:23:05,11:23:22,11:26:13
harris-early (1),14,11:24:08,11:25:04,11:25:22,11:29:32
harris-early (1),15,11:35:50,,,
harris-early (1),16,11:43:29,11:44:51,11:45:14,11:47:22
harris-early (1),17,11:43:56,11:44:39,11:44:57,11:48:46
harris-early (1),18,11:58:56,,,
harris-early (1),19,12:05:22,12:07:07,12:07:30,12:10:40
harris-early (2),1,7:02:10,7:03:20,7:03:30,7:07:45
harris-early (2),2,7:02:10,7:03:21,7:03:31,7:07:50
harris-early (2),3,7:02:10,7:04:20,7:04:30,7:10:23
harris-early (2),4,7:02:10,7:03:15,7:03:20,7:05:50
harris-early (2),5,7:07:55,7:09:00,7:09:10,7:11:11
harris-early (2),6,7:07:50,7:09:15,7:10:20,7:13:50
harris-early (2),7,7:12:01,7:12:59,7:13:09,7:14:13
harris-early (2),8,7:11:50,7:13:09,7:13:10,7:18:30
harris-early (2),9,7:15:13,7:17:04,7:17:17,7:19:40
harris-early (2),10,7:20:10,7:21:10,7:22:00,7:27:00
harris-early (2),11,7:19:50,7:22:00,7:22:15,7:28:49
harris-early (2),12,7:24:33,7:27:10,7:27:20,7:31:00
harris-early (2),13,7:30:01,7:31:57,7:32:17,7:35:50
harris-early (2),14,7:33:01,7:34:30,7:35:11,7:37:52
harris-early (2),15,7:33:33,7:34:00,7:34:10,7:40:00
harris-early (2),16,7:40:00,7:40:29,7:40:40,7:45:15
harris-early (2),17,7:42:51,7:44:30,7:44:37,7:49:56
harris-early (2),18,7:46:05,7:47:37,7:48:09,7:50:23
harris-early (2),19,7:54:11,7:59:32,7:59:54,8:05:31
harris-early (2),20,8:02:51,8:04:18,8:04:43,8:08:44
harris-early (2),21,8:10:46,8:11:39,8:12:10,8:16:32
harris-early (2),22,8:15:00,8:16:32,8:16:50,8:21:26
harris-early (2),23,8:19:01,8:19:31,8:19:39,8:26:47
harris-early (2),24,8:22:34,8:23:00,8:23:11,8:26:07
harris-early (2),25,8:28:00,8:29:02,8:29:18,8:32:00
harris-early (2),26,8:30:09,8:31:07,8:31:28,8:35:31
harris-early (2),27,8:31:27,,,
harris-early (3),1,9:54:00,9:56:36,9:57:00,10:01:05
harris-early (3),2,10:02:00,10:03:30,10:04:00,10:06:04
harris-early (3),3,10:07:00,10:08:26,10:09:00,10:13:21
harris-early (3),4,10:14:00,10:21:04,10:22:00,10:27:09
harris-early (3),5,10:27:00,10:28:13,10:29:00,10:31:52
harris-early (3),6,10:32:00,10:33:15,10:34:00,10:36:13
harris-early (3),7,10:39:00,10:40:30,10:41:00,10:45:29
harris-early (3),8,10:46:00,10:47:17,10:48:00,10:53:28
harris-early (3),9,10:54:00,10:55:08,10:55:00,10:59:57
harris-early (3),10,11:00:00,11:01:23,11:02:00,11:04:40
harris-early (3),11,11:05:00,11:06:10,11:07:00,11:12:26
harris-early (3),12,11:13:00,11:15:11,11:16:00,11:20:44
harris-early (3),13,11:24:00,11:27:35,11:28:00,
harris-early (3),14,11:32:00,11:33:13,11:34:00,11:46:17
harris-early (3),15,11:49:00,11:52:05,11:53:00,11:55:15
harris-early (4),1,7:00:00,7:01:36,7:03:00,7:03:36
harris-early (4),2,7:04:00,7:05:01,7:06:00,7:11:48
harris-early (4),3,7:14:00,7:14:30,7:15:00,7:16:43
harris-early (4),4,7:17:00,7:18:08,7:19:00,7:23:56
harris-early (4),5,7:24:00,7:25:03,7:26:00,7:31:00
harris-early (4),6,7:32:00,7:33:53,7:36:00,7:40:59
harris-early (4),7,7:43:00,7:44:05,7:45:00,7:47:34
harris-early (4),8,7:48:00,7:49:05,7:49:00,7:51:43
harris-early (4),9,7:52:00,7:53:11,7:54:00,7:59:19
harris-early (4),10,8:00:00,8:00:59,8:01:00,8:05:36
harris-early (4),11,8:06:00,8:07:20,8:08:00,8:14:30
harris-early (4),12,8:15:00,8:15:56,8:16:00,8:17:41
harris-early (4),13,8:18:00,8:19:02,8:20:00,8:21:46
harris-early (4),14,8:25:00,8:26:08,8:26:00,8:29:53
harris-early (4),15,8:31:00,8:32:01,8:32:00,8:35:45
harris-early (4),16,8:37:00,8:39:48,8:40:00,8:43:06
harris-early (4),17,8:43:00,8:44:08,8:45:00,8:48:34
harris-early (4),18,8:49:00,8:53:07,8:53:00,8:58:49
harris-early (5),1,10:01:00,10:02:01,10:03:13,10:05:55
harris-early (5),2,10:07:35,,,
harris-early (5),3,10:10:58,10:11:57,10:12:25,10:15:23
harris-early (5),4,10:11:59,10:12:46,10:13:07,10:15:59
harris-early (5),5,10:17:02,10:18:01,10:18:33,10:25:31
harris-early (5),6,10:18:45,10:19:16,10:19:44,10:21:04
harris-early (5),7,10:22:17,10:23:15,10:23:45,10:28:00
harris-early (5),8,10:25:01,,,
harris-early (5),9,10:27:16,10:27:55,10:28:10,10:32:15
