filename,number,start.checkin,leave.table,start.voting,end.voting
los angeles ca (10),1,9:14:50,,,
los angeles ca (10),2,9:18:10,9:20:06,9:20:15,9:23:50
los angeles ca (10),3,9:24:36,9:25:45,9:25:50,9:29:45
los angeles ca (10),4,9:32:59,9:33:30,9:33:42,9:37:40
los angeles ca (10),5,9:42:49,9:43:52,9:44:02,9:47:35
los angeles ca (10),6,9:48:32,9:50:48,9:51:01,9:56:33
los angeles ca (10),7,9:56:10,9:57:44,9:57:56,10:01:50
los angeles ca (10),8,10:02:45,10:03:57,10:04:02,10:08:20
los angeles ca (10),9,10:09:14,10:10:04,10:10:18,10:13:40
los angeles ca (10),10,10:14:05,10:15:22,10:15:37,10:21:30
los angeles ca (10),11,10:22:21,,,
los angeles ca (10),12,10:23:30,10:24:58,10:25:15,10:29:05
los angeles ca (10),13,10:30:50,10:31:30,10:31:35,10:38:50
los angeles ca (11),1,7:34:25,7:34:49,7:35:10,7:39:21
los angeles ca (11),2,7:41:40,7:42:08,7:42:09,7:47:00
los angeles ca (11),3,7:48:41,7:50:50,7:50:52,7:56:13
los angeles ca (11),4,8:00:08,8:00:30,,
los angeles ca (11),5,8:02:01,8:04:30,8:04:35,8:09:03
los angeles ca (11),6,8:10:30,8:11:20,8:11:35,8:15:02
los angeles ca (11),7,8:19:25,8:20:31,8:20:51,8:24:49
los angeles ca (11),9,8:26:59,8:28:30,8:29:15,8:35:35
los angeles ca (11),10,8:37:45,8:38:43,8:38:50,8:43:25
los angeles ca (11),11,8:45:20,8:46:40,8:46:55,8:54:50
los angeles ca (13),2,11:46:22,11:53:10,11:53:20,12:03:10
los angeles ca (13),3,11:48:00,,11:53:00,11:58:05
los angeles ca (13),4,11:51:35,11:54:18,11:54:25,12:30:47
los angeles ca (13),5,12:12:09,12:16:20,12:16:30,12:28:17
los angeles ca (13),6,12:27:40,12:34:17,12:35:00,12:49:23
los angeles ca (13),7,12:42:49,12:43:42,12:43:50,12:56:50
los angeles ca (13),8,12:47:08,12:48:15,12:48:20,13:02:51
los angeles ca (13),9,12:53:26,12:54:55,12:55:19,12:58:45
los angeles ca (13),10,13:00:37,13:08:13,13:08:20,13:13:01
los angeles ca (4),1,9:32:29,9:33:45,9:33:50,9:41:45
los angeles ca (4),2,9:46:50,9:48:00,9:48:05,9:55:45
los angeles ca (4),3,9:57:10,9:58:11,9:58:33,10:05:30
los angeles ca (4),4,10:06:37,10:07:38,10:07:45,10:09:23
los angeles ca (4),5,10:11:34,10:12:31,10:12:41,10:17:20
los angeles ca (4),6,10:20:18,10:21:30,10:21:37,10:28:45
los angeles ca (4),7,10:30:10,10:32:30,10:32:35,10:38:34
los angeles ca (4),8,10:40:50,10:43:45,10:43:50,10:47:50
los angeles ca (4),9,10:49:30,10:50:15,10:50:20,10:53:56
los angeles ca (6),1,16:03:06,16:04:25,16:04:59,16:09:20
los angeles ca (6),2,16:10:15,16:11:27,16:11:35,16:13:32
los angeles ca (6),3,16:14:40,16:16:51,16:16:55,16:19:53
los angeles ca (6),4,16:21:35,16:22:20,16:22:24,16:30:15
los angeles ca (6),5,16:34:00,16:35:40,16:39:00,16:42:03
los angeles ca (6),6,16:45:00,16:46:53,16:47:00,16:53:56
los angeles ca (6),7,16:55:00,16:56:13,16:56:19,17:01:02
los angeles ca (6),8,17:02:00,17:03:37,17:03:47,17:07:58
los angeles ca (6),9,17:09:00,17:10:41,17:10:43,17:14:38
los angeles ca (6),10,17:21:00,17:24:21,17:24:25,17:27:30
los angeles ca (7),1,14:00:10,14:02:50,14:02:56,14:11:38
los angeles ca (7),2,14:12:50,14:14:38,14:14:50,14:20:40
los angeles ca (7),3,14:22:21,14:23:35,14:23:41,14:27:35
los angeles ca (7),4,14:33:48,14:38:15,14:38:30,14:40:57
los angeles ca (7),5,14:44:05,14:46:16,14:46:23,14:58:45
los angeles ca (7),6,15:01:40,15:02:42,15:02:51,15:06:04
los angeles ca (7),7,15:08:06,15:10:48,15:10:54,15:16:50
los angeles ca (8),1,10:50:00,10:52:00,10:53:00,11:04:52
los angeles ca (8),2,11:07:28,11:09:48,11:09:59,11:12:56
los angeles ca (8),3,11:10:12,11:10:48,11:11:02,11:14:51
los angeles ca (8),4,1:17:15,11:19:01,11:19:18,11:21:47
los angeles ca (8),6,11:25:38,11:30:08,11:30:13,11:44:09
los angeles ca (8),7,11:47:43,11:48:41,11:49:01,11:53:36
los angeles ca (8),8,11:55:20,11:56:17,11:56:28,12:00:02
los angeles ca (8),9,12:01:22,12:01:50,12:02:01,12:04:41
los angeles ca (8),10,12:05:32,12:08:51,12:09:25,12:13:50
los angeles ca (9),1,13:04:10,13:04:46,13:05:07,13:10:39
los angeles ca (9),2,13:09:12,13:09:35,13:09:49,13:15:12
los angeles ca (9),3,13:19:56,13:20:40,13:21:20,13:33:57
los angeles ca (9),4,13:26:18,13:29:54,13:30:02,13:39:54
los angeles ca (9),5,13:27:38,13:28:15,13:28:59,13:35:15
los angeles ca (9),6,13:33:15,13:33:50,,13:42:02
los angeles ca (9),7,13:35:52,13:36:37,13:37:27,13:41:58
los angeles ca (9),8,13:43:17,13:43:50,13:44:04,
los angeles ca (9),9,13:51:26,13:54:22,13:54:51,13:59:07
los angeles ca (9),10,13:53:16,13:54:05,13:54:13,13:59:31
