filename,number,start.checkin,leave.table,start.voting,end.voting,get.in.line,leave.line,begin.scanning,end.scanning
los angeles ca - usc (1),4,13:01:40,13:03:16,13:03:23,13:07:50,,,13:08:00,13:08:24
los angeles ca - usc (1),5,13:11:42,13:13:51,13:13:58,13:17:00,,,13:17:30,13:18:02
los angeles ca - usc (1),6,13:21:50,13:23:48,13:23:53,13:34:50,,,13:35:01,13:35:30
los angeles ca - usc (10),1,9:00:02,9:00:33,9:05:22,9:12:25,9:12:25,9:12:47,9:12:47,9:12:58
los angeles ca - usc (10),1,7:57:51,7:58:49,7:58:49,8:05:45,8:05:45,8:06:02,8:06:02,8:06:12
los angeles ca - usc (10),2,9:14:02,,,,,,,
los angeles ca - usc (10),2,8:06:55,8:08:25,8:10:52,8:17:22,,,8:17:22,8:17:40
los angeles ca - usc (10),3,9:16:00,9:17:44,9:23:09,9:30:32,9:30:32,9:30:56,9:30:56,9:31:04
los angeles ca - usc (10),3,8:12:21,8:13:15,8:18:17,8:23:49,,,8:23:49,8:24:15
los angeles ca - usc (10),4,9:31:57,9:32:45,9:41:07,9:43:45,9:43:45,9:44:03,9:44:03,9:44:08
los angeles ca - usc (10),4,8:19:07,8:20:20,8:24:03,8:28:12,8:28:12,8:28:41,8:28:41,8:29:44
los angeles ca - usc (10),5,9:44:40,9:45:17,9:55:18,9:58:55,9:58:55,9:59:06,9:59:06,9:59:18
los angeles ca - usc (10),5,8:24:51,8:26:25,8:28:31,8:31:52,8:31:52,8:32:07,8:32:07,8:32:17
los angeles ca - usc (10),6,8:34:21,8:35:17,8:35:17,8:40:22,,,8:40:22,8:40:37
los angeles ca - usc (10),7,8:41:20,8:42:11,8:44:12,8:48:51,,,8:48:51,8:49:06
los angeles ca - usc (10),8,8:49:36,8:50:41,8:54:58,8:58:38,,,8:58:38,8:59:01
los angeles ca - usc (11),1,10:45:52,10:47:06,10:47:12,10:51:32,,,10:51:37,10:51:46
los angeles ca - usc (11),2,10:47:42,10:48:26,10:48:32,10:59:40,10:59:46,11:00:35,11:00:41,11:00:52
