filename,number,start.checkin,leave.table,start.voting,end.voting,get.in.line,leave.line,begin.scanning,end.scanning,,NOTE: numerous date errors where value excedes 24. 
madison id (1),1,,,13:06:55,13:10:24,13:10:26,,,13:11:09,,
madison id (1),1,13:52:05,13:53:25,,,,,,13:57:06,,
madison id (1),1,14:26:00,14:27:47,14:28:00,14:30:28,,,14:30:34,14:30:45,,
madison id (1),1,15:05:30,15:07:10,15:07:26,15:13:00,,,,15:13:16,,
madison id (1),1,,15:33:50,15:34:00,15:37:50,,,,,,
madison id (1),1,,16:01:15,16:01:20,,,,,,,
madison id (1),1,,,16:28:35,16:30:15,,,,16:30:30,,
madison id (1),1,,16:50:00,16:50:16,16:53:08,,,,,,
madison id (1),1,17:42:35,17:42:48,17:46:45,,,,17:46:55,,,
madison id (1),2,,13:07:00,13:07:22,,,,,13:11:02,,
madison id (1),2,13:53:37,13:57:40,13:57:45,14:00:08,,,,14:00:19,,
madison id (1),2,14:28:02,14:41:30,14:41:43,14:44:28,,,,14:44:38,,
madison id (1),2,15:09:25,,,,,,,,,
madison id (1),2,,15:35:06,,15:37:05,,,,15:37:15,,
madison id (1),2,,16:02:12,16:02:20,16:04:02,,,,16:04:14,,
madison id (1),2,,,16:24:40,16:26:08,,,,,,
madison id (1),2,,16:51:57,16:52:17,16:55:15,,,,,,
madison id (1),2,,17:42:40,17:42:52,17:47:05,,,,17:47:27,,
madison id (1),3,,,,13:10:30,13:10:35,,,13:11:12,,
madison id (1),3,13:53:37,13:57:40,13:57:43,13:59:42,,,,13:59:50,,
madison id (1),3,14:28:02,14:41:28,14:41:43,14:45:45,,,,14:45:55,,
madison id (1),3,15:09:25,15:11:00,15:11:10,15:14:55,,,,15:16:05,,
madison id (1),3,,15:34:45,,15:38:32,,,,15:38:44,,
madison id (1),3,,16:03:30,16:03:42,16:06:04,,,,16:06:24,,
madison id (1),3,,16:52:17,16:52:25,16:55:09,,,,,,
madison id (1),4,,13:09:20,13:09:25,13:14:04,,,,13:19:52,,
madison id (1),4,13:54:38,13:55:22,13:55:30,,,,,14:03:37,,
madison id (1),4,14:31:25,14:32:01,,14:34:41,,,,,,
madison id (1),4,,15:11:00,15:11:12,,,,,,,
madison id (1),4,,16:01:41,16:01:48,16:03:54,,,,16:04:02,,
madison id (1),4,,,16:27:22,16:31:19,,,,,,
madison id (1),4,16:50:00,16:52:44,16:52:48,16:56:19,,,,,,
madison id (1),4,17:43:04,17:44:28,,,,,,,,
madison id (1),5,,13:12:43,13:12:48,13:19:08,13:19:08,,,13:19:40,,
madison id (1),5,14:31:30,14:31:40,14:32:48,14:34:00,,,,14:34:15,,
madison id (1),5,,15:12:14,15:12:20,,,,,15:20:40,,
madison id (1),5,,,,16:05:25,,,,16:05:38,,
madison id (1),5,16:26:22,16:27:56,16:28:13,16:28:38,,,,,,
madison id (1),5,16:52:52,,,16:56:35,,,,,,
madison id (1),5,17:44:07,17:46:22,17:46:32,17:48:15,,,,17:48:25,,
madison id (1),6,,13:10:12,,,,,,13:14:18,,
madison id (1),6,14:32:10,14:34:45,14:34:55,14:38:00,,,,14:38:15,,
madison id (1),6,15:11:00,15:13:13,,,,,,15:16:40,,
madison id (1),6,,15:37:00,15:37:05,15:39:53,,,,,,
madison id (1),6,,16:02:36,,16:05:32,,,,16:05:44,,
madison id (1),6,16:26:32,,,16:30:01,,,,16:30:14,,
madison id (1),6,,16:53:02,16:53:08,16:56:20,,,,,,
madison id (1),6,17:44:17,17:46:26,17:46:34,17:48:19,,,,17:48:35,,
madison id (1),7,,13:13:33,13:13:42,13:20:29,,,,13:35:00,,
madison id (1),7,,13:56:42,13:56:48,,,,,13:59:34,,
madison id (1),7,,,15:12:31,15:15:05,15:15:10,15:16:07,15:16:10,15:16:20,,
madison id (1),7,,15:39:30,,15:40:51,,,,15:41:00,,
madison id (1),7,,,16:04:32,16:08:50,,,,16:08:58,,
madison id (1),7,16:53:33,16:53:58,,16:58:37,,,,,,
madison id (1),7,17:45:09,17:47:53,17:47:57,17:50:27,,,,17:50:38,,
madison id (1),8,,13:58:07,13:58:17,14:02:10,14:02:14,,,14:02:33,,
madison id (1),8,,14:36:25,14:36:35,14:38:24,,,,14:38:40,,
madison id (1),8,,,15:12:31,,,,,15:17:55,,
madison id (1),8,,,16:29:49,16:31:03,,,,,,
madison id (1),8,16:53:46,16:55:52,16:56:02,16:57:20,,,,,,
madison id (1),8,,17:49:50,17:49:58,17:52:04,,,,17:52:19,,
madison id (1),9,13:14:07,13:18:15,,13:20:51,,,,,,
madison id (1),9,,13:58:59,13:59:06,14:01:50,14:05:53,,,,,
madison id (1),9,,14:36:11,14:36:19,14:38:38,,,,14:38:55,,
madison id (1),9,15:12:50,15:17:31,15:17:40,15:20:40,,,15:20:50,15:20:59,,
madison id (1),9,16:04:43,16:06:09,,16:09:46,,,,16:10:00,,
madison id (1),9,,16:30:57,16:31:09,16:33:10,,,,,,
madison id (1),9,16:53:46,16:55:52,16:56:03,16:58:23,,,,,,
madison id (1),9,,17:54:01,,,,,,,,
madison id (1),10,13:15:17,13:16:28,13:16:33,13:19:15,13:19:16,,,13:19:50,,
madison id (1),10,13:57:45,13:58:45,13:59:00,14:02:25,,,,14:03:02,,
madison id (1),10,14:36:04,14:37:18,14:37:24,14:38:55,,,,14:39:10,,
madison id (1),10,15:12:55,,15:17:45,15:20:55,,,15:21:05,15:21:15,,
madison id (1),10,,,15:40:15,15:41:55,,,,15:42:09,,
madison id (1),10,16:04:50,16:07:06,16:07:26,16:08:51,,,,16:08:59,,
madison id (1),10,16:30:35,16:31:31,16:31:40,16:31:55,,,,,,
madison id (1),10,16:54:55,,16:56:43,17:01:44,,,,,,
madison id (1),10,,17:49:00,17:49:07,,,,,,,
madison id (1),11,,13:24:35,13:24:47,13:26:40,,,,13:26:52,,
madison id (1),11,13:45:00,13:59:21,13:59:30,14:02:40,,,,14:03:17,,
madison id (1),11,,16:07:20,,16:11:10,,,,16:11:20,,
madison id (1),11,16:31:30,16:32:30,16:32:41,16:34:27,,,,,,
madison id (1),11,16:54:55,16:56:49,,16:59:12,,,,,,
madison id (1),11,17:49:32,17:52:34,17:52:50,,,,,,,
madison id (1),12,13:23:14,,,,,,,,,
madison id (1),12,,14:01:07,,,,,,,,
madison id (1),12,14:39:30,14:40:06,14:40:15,14:43:20,,,,14:43:31,,
madison id (1),12,15:42:15,15:43:48,15:43:54,15:45:22,,,,15:45:32,,
madison id (1),12,,16:08:18,,16:13:35,,,,16:13:51,,
madison id (1),12,16:31:30,16:32:37,16:32:45,17:35:35,,,,,,
madison id (1),12,16:55:42,16:57:05,16:57:19,16:59:47,,,,,,
madison id (1),12,17:50:49,,,,,,,,,
madison id (1),13,,13:25:28,,13:28:05,,,,13:28:15,,
madison id (1),13,14:05:15,14:07:58,,,,,,,,
madison id (1),13,14:39:30,14:43:05,14:43:15,14:46:15,,,14:46:20,14:46:38,,
madison id (1),13,,15:19:45,15:19:55,15:21:50,,,15:21:55,15:21:59,,
madison id (1),13,15:43:32,15:43:48,15:43:56,15:46:05,,,,15:46:20,,
madison id (1),13,,,16:34:16,16:37:10,,,,,,
madison id (1),13,16:56:57,16:58:45,16:58:53,17:01:11,,,,,,
madison id (1),13,17:50:45,17:51:07,,17:52:58,,,,17:53:10,,
madison id (1),14,13:24:59,,,,,,,,,
madison id (1),14,14:01:20,,,,,,,14:05:00,,
madison id (1),14,,14:42:50,14:42:59,14:46:00,,,,14:46:13,,
madison id (1),14,15:43:40,15:44:56,15:45:05,15:47:20,,,,15:47:28,,
madison id (1),14,,16:09:55,,16:14:53,,,,16:15:05,,
madison id (1),14,16:35:46,,16:36:11,16:37:26,,,,,,
madison id (1),14,16:57:04,16:58:45,16:59:04,17:00:08,,,,,,
madison id (1),14,,,17:50:59,17:53:34,,,,17:53:50,,
madison id (1),15,13:28:35,13:31:09,13:31:15,13:32:10,,,13:33:36,13:33:49,,
madison id (1),15,,14:05:32,0.587939815,14:08:45,,,,14:09:37,,
madison id (1),15,14:44:51,14:48:57,14:49:05,,,,,14:52:34,,
madison id (1),15,15:21:30,15:21:35,15:22:40,15:24:16,,,,15:24:22,,
madison id (1),15,15:44:25,15:59:00,15:59:10,,,,,15:53:27,Unreadable,
madison id (1),15,16:07:25,16:08:27,16:08:37,16:10:25,,,,,,
madison id (1),15,16:34:55,,16:35:25,16:37:10,,,,,,
madison id (1),15,17:51:39,,,17:58:49,,,,,,
madison id (1),16,13:29:38,13:33:05,13:33:10,13:34:50,,,,13:35:00,,
madison id (1),16,,,14:06:32,14:08:45,,,,,,
madison id (1),16,14:42:50,14:43:52,,14:46:45,,,14:46:50,14:47:05,,
madison id (1),16,,15:23:42,15:24:00,15:28:05,,,,,,
madison id (1),16,,15:45:14,,15:47:30,,,,15:47:42,,
madison id (1),16,,16:09:55,,16:12:00,,,,16:12:13,,
madison id (1),16,16:34:39,,16:35:19,16:39:10,,,,,,
madison id (1),16,16:58:08,17:01:54,17:01:59,17:03:56,,,,,,
madison id (1),16,,17:55:11,17:55:27,17:58:38,,,,,,
madison id (1),17,13:31:30,,,,,,,,,
madison id (1),17,,14:07:01,,14:10:22,,,,14:10:32,,
madison id (1),17,14:44:01,14:44:46,,14:47:09,,,,14:47:28,,
madison id (1),17,,16:11:02,,,,,,16:13:28,,
madison id (1),17,16:36:06,16:36:18,16:37:00,16:41:06,,,,,,
madison id (1),17,16:58:16,17:01:54,17:01:59,17:03:59,,,,,,
madison id (1),17,17:55:20,,,17:58:55,,,,,,
madison id (1),18,13:31:45,13:32:45,13:32:52,13:34:40,,,,13:34:50,,
madison id (1),18,14:07:23,,14:08:55,14:10:40,,,,14:10:50,,
madison id (1),18,14:46:30,14:50:47,,14:53:41,,,,14:54:11,,
madison id (1),18,,15:24:00,15:24:05,,,,,,,
madison id (1),18,,16:11:30,16:11:50,16:14:20,,,,16:14:35,,
madison id (1),18,16:36:20,16:37:01,,,,,,,,
madison id (1),18,17:01:22,17:03:06,17:03:19,17:07:47,,,,,,
madison id (1),18,17:55:44,,,,,,,,,
madison id (1),19,13:32:16,13:33:55,13:34:10,13:36:10,,,13:36:26,13:36:41,,
madison id (1),19,14:07:23,14:09:13,,14:12:40,,,,14:12:50,,
madison id (1),19,,,14:49:28,14:51:20,,,,14:51:30,,
madison id (1),19,15:23:20,15:26:06,15:26:13,,,,,,,
madison id (1),19,,15:46:07,15:46:15,15:48:50,,,,,,
madison id (1),19,16:37:47,16:38:08,16:38:20,16:48:35,,,,,,
madison id (1),19,17:03:33,17:04:11,17:04:25,17:05:22,,,,,,
madison id (1),19,,,17:59:40,,,,,,,
madison id (1),20,,,13:35:12,13:36:45,,,,13:37:06,,
madison id (1),20,,14:09:25,14:09:34,,,,,,,
madison id (1),20,,14:51:25,14:51:32,14:54:40,,,,14:55:00,,
madison id (1),20,,15:24:30,15:24:55,15:30:44,,,,15:30:56,,
madison id (1),20,,,15:48:50,15:53:30,,,,15:53:42,,
madison id (1),20,16:11:43,16:12:28,16:12:35,16:14:34,,,,16:14:50,,
madison id (1),20,16:37:53,16:38:12,16:38:25,16:40:17,,,,,,
madison id (1),20,,17:04:59,,17:06:37,,,,,,
madison id (1),21,,,13:37:05,13:39:50,,,,13:40:05,,
madison id (1),21,,15:25:28,,15:28:26,,,,15:29:05,,
madison id (1),21,16:12:35,16:13:18,,16:17:01,,,,16:17:30,,
madison id (1),21,16:38:48,16:40:19,16:40:35,16:47:34,,,,,,
