filename,number,start.checkin,leave.table,start.voting,end.voting,get.in.line,leave.line,begin.scanning,end.scanning
ny (1),1,11:36:20,11:37:40,11:39:00,11:41:30,,,11:41:45,11:42:00
ny (1),3,11:43:30,11:44:05,11:45:50,11:48:20,11:48:25,11:49:20,11:49:20,11:49:30
ny (1),4,11:50:23,11:50:52,11:51:36,11:55:15,,,11:55:25,11:55:42
ny (1),5,11:56:30,11:57:02,11:57:15,12:00:02,12:00:05,12:00:30,12:00:31,12:00:49
ny (1),6,12:01:50,12:02:40,12:03:30,12:07:01,12:07:03,12:07:14,12:07:15,12:07:25
ny (1),8,12:14:22,12:15:01,12:15:26,12:17:06,12:17:11,12:17:13,12:17:20,12:17:35
ny (1),9,12:20:15,12:21:00,12:21:10,12:22:51,,,12:23:10,12:23:27
ny (1),10,12:23:52,12:24:15,12:24:30,12:25:43,12:25:50,12:26:20,12:26:25,12:26:40
ny (10),1,7:59:00,7:59:00,7:59:00,8:03:00,8:03:00,8:03:00,8:03:00,8:09:00
ny (10),2,8:00:00,8:03:00,8:03:00,8:03:00,8:05:00,8:05:00,8:06:00,8:06:00
ny (10),3,8:10:00,8:11:00,8:11:00,8:14:00,8:14:00,8:14:00,8:15:00,8:15:00
ny (10),4,8:11:00,8:11:00,8:11:00,8:15:00,8:15:00,8:15:00,8:15:00,8:15:00
ny (10),5,8:14:00,8:15:00,8:15:00,8:17:00,8:17:00,8:17:00,8:17:00,8:18:00
ny (10),6,8:16:00,8:16:00,8:17:00,8:19:00,8:19:00,8:19:00,8:19:00,8:19:00
ny (10),7,8:24:00,8:24:00,8:24:00,8:27:00,8:27:00,8:27:00,8:27:00,8:27:00
ny (10),8,8:26:00,8:27:00,8:27:00,8:29:00,8:29:00,8:29:00,8:29:00,8:29:00
ny (10),9,8:27:00,8:27:00,8:27:00,8:30:00,8:30:00,8:30:00,8:30:00,8:30:00
ny (10),10,8:30:00,8:30:00,8:30:00,8:34:00,8:34:00,8:34:00,8:34:00,8:34:00
ny (11),1,13:59:00,14:00:00,14:00:00,14:03:00,14:03:00,14:04:00,14:04:00,14:04:00
ny (11),2,14:02:00,14:02:00,14:02:00,14:04:00,14:04:00,14:05:00,14:05:00,14:05:00
ny (11),3,14:04:00,14:05:00,14:06:00,14:08:00,14:08:00,14:08:00,14:08:00,14:09:00
ny (11),4,14:04:00,14:05:00,14:06:00,14:09:00,14:09:00,14:10:00,14:10:00,14:11:00
ny (11),5,14:13:00,14:14:00,14:14:00,14:16:00,14:16:00,14:16:00,14:16:00,14:17:00
ny (11),6,14:13:00,14:14:00,14:14:00,14:15:00,14:15:00,14:15:00,14:16:00,14:16:00
ny (11),7,14:16:00,14:16:00,14:17:00,14:19:00,14:19:00,14:19:00,14:19:00,14:19:00
ny (11),8,14:17:00,14:18:00,14:18:00,14:20:00,14:20:00,14:20:00,14:20:00,14:20:00
ny (11),9,14:21:00,14:22:00,14:22:00,14:24:00,14:25:00,14:25:00,14:25:00,14:25:00
ny (11),10,14:26:00,14:27:00,14:27:00,14:30:00,14:30:00,14:30:00,14:30:00,14:30:00
ny (12),1,16:02:00,16:03:00,16:03:00,16:07:00,16:07:00,16:07:00,16:07:00,16:07:00
ny (12),2,16:08:00,16:08:00,16:09:00,16:09:00,16:09:00,16:10:00,16:10:00,16:11:00
ny (12),3,16:09:00,16:09:00,16:10:00,16:10:00,16:10:00,16:11:00,16:11:00,16:11:00
ny (12),4,16:17:00,16:18:00,16:18:00,16:18:00,16:18:00,16:19:00,16:19:00,16:19:00
ny (12),5,16:27:00,16:28:00,16:28:00,16:30:00,16:30:00,16:30:00,16:30:00,16:30:00
ny (12),6,16:27:00,16:29:00,16:29:00,16:30:00,16:30:00,16:30:00,16:30:00,16:30:00
ny (12),7,16:27:00,16:29:00,16:29:00,16:31:00,16:31:00,16:31:00,16:31:00,16:31:00
ny (12),8,16:28:00,16:32:00,16:32:00,16:34:00,16:34:00,16:35:00,16:35:00,16:35:00
ny (12),9,16:34:00,16:36:00,16:36:00,16:40:00,16:40:00,16:41:00,16:41:00,16:41:00
ny (12),10,16:35:00,16:36:00,16:36:00,16:41:00,16:41:00,16:41:00,16:41:00,16:42:00
ny (13),1,7:59:00,8:00:00,8:00:00,8:03:00,8:04:00,8:04:00,8:04:00,8:04:00
ny (14),1,7:52:35,7:53:02,7:53:30,7:55:30,,,7:55:40,7:55:45
ny (14),2,7:56:20,7:57:10,7:57:20,7:59:45,,,8:00:00,8:00:10
ny (14),3,8:00:10,8:00:30,8:00:40,8:02:45,,,8:03:45,8:04:10
ny (14),4,8:04:00,8:05:25,8:05:30,8:07:45,,,8:07:50,8:09:10
ny (15),2,6:42:20,6:43:20,6:43:25,6:45:36,,,6:45:42,6:45:48
ny (15),3,6:53:10,6:53:35,6:53:41,6:56:18,,,6:56:25,6:56:31
ny (15),4,7:00:05,7:01:00,7:01:04,7:01:55,,,7:02:03,7:02:10
ny (15),5,7:07:30,7:07:53,7:08:15,7:11:18,,,7:11:28,7:11:55
ny (15),6,7:13:15,7:13:47,7:13:56,7:18:16,,,7:18:15,7:19:03
ny (15),7,7:25:30,7:26:10,7:26:22,7:30:40,,,7:30:45,7:30:59
ny (16),1,15:36:00,15:37:16,15:37:21,15:38:56,15:39:04,15:39:42,15:39:45,15:40:49
ny (16),4,15:55:30,15:56:01,15:56:09,15:58:00,15:58:13,15:58:32,15:58:34,15:58:53
ny (16),5,16:08:10,16:09:05,16:09:11,16:09:56,16:10:10,16:13:38,16:13:40,16:13:46
ny (16),7,16:23:00,16:23:46,16:24:51,16:25:52,16:25:53,16:32:06,16:32:12,16:35:01
ny (17),1,16:42:05,16:42:58,16:43:13,16:47:42,16:47:45,16:47:48,16:47:50,16:48:05
ny (17),4,16:56:00,16:56:58,16:57:25,16:58:58,,,16:59:03,16:59:13
