filename,number,start.checkin,leave.table,start.voting,end.voting
richland sc (1),1,10:00:00,10:02:58,,
richland sc (1),2,10:09:00,10:10:15,10:10:30,10:13:31
richland sc (1),3,10:15:20,10:15:54,10:16:14,10:17:37
richland sc (1),4,10:18:06,10:19:53,10:20:43,10:21:34
richland sc (1),5,10:22:48,10:23:31,10:24:07,10:25:37
richland sc (1),6,10:26:49,10:27:49,10:28:22,10:30:07
richland sc (1),7,10:30:43,10:31:24,10:31:36,10:32:47
richland sc (1),8,10:34:37,10:35:03,10:35:23,10:37:04
richland sc (1),9,10:37:57,10:38:09,10:38:24,10:39:43
richland sc (1),10,10:40:06,10:42:22,10:42:50,10:44:33
richland sc (1),11,10:45:05,10:45:31,10:45:48,10:47:26
richland sc (1),12,10:48:51,10:49:43,10:50:14,10:51:58
richland sc (1),13,10:52:22,10:52:59,10:55:06,10:56:18
richland sc (1),14,10:56:56,10:58:18,10:59:35,11:02:14
richland sc (1),15,11:02:27,11:03:13,11:04:14,11:05:49
richland sc (1),16,11:06:26,11:07:17,11:07:58,11:09:32
richland sc (1),17,11:10:05,11:11:01,11:11:25,11:13:12
richland sc (1),18,11:13:59,11:14:14,11:15:11,11:18:10
richland sc (1),19,11:18:30,11:18:55,11:20:00,11:21:17
richland sc (1),20,11:21:46,11:22:20,11:22:39,11:23:20
richland sc (1),21,11:24:40,11:25:31,11:25:58,11:28:53
richland sc (1),22,11:30:30,11:31:12,11:31:28,11:33:20
richland sc (1),23,11:33:42,11:34:46,11:35:58,11:38:43
richland sc (1),24,11:43:50,11:44:34,11:44:52,11:46:20
richland sc (1),25,11:50:45,11:51:47,11:52:03,11:53:07
richland sc (1),27,11:55:14,11:55:55,11:56:14,11:57:46
richland sc (1),28,11:56:47,11:57:53,11:58:10,12:02:04
richland sc (10),1,16:58:41,17:00:06,17:00:19,17:02:30
richland sc (10),2,17:03:47,17:04:25,17:04:32,17:06:27
richland sc (10),3,17:10:18,17:11:01,17:11:26,17:13:06
richland sc (10),4,17:13:20,17:14:27,17:14:35,17:16:35
richland sc (10),5,17:18:06,17:18:52,17:18:58,17:20:53
richland sc (10),6,17:23:34,17:24:23,17:24:32,17:28:16
richland sc (10),7,17:28:59,17:29:45,17:29:52,17:32:03
richland sc (10),8,17:34:50,17:35:41,17:35:52,17:38:18
richland sc (10),9,17:36:58,17:37:31,17:37:44,17:39:58
richland sc (10),10,17:42:40,17:43:18,17:43:30,17:46:56
richland sc (10),11,17:43:55,17:44:26,17:44:40,17:46:10
richland sc (10),12,17:46:47,17:47:22,17:47:35,17:49:45
richland sc (10),13,17:56:40,17:57:18,17:57:26,17:59:00
richland sc (10),14,17:59:14,18:00:48,18:01:04,18:05:38
richland sc (10),15,18:09:36,18:09:50,18:10:14,18:11:55
richland sc (10),16,18:14:17,18:14:51,18:15:00,18:16:55
richland sc (10),17,18:16:50,18:17:33,18:17:49,18:20:15
richland sc (10),18,18:18:28,18:18:59,18:19:12,18:21:55
richland sc (10),19,18:19:56,18:20:23,18:20:33,18:23:11
richland sc (10),20,18:21:27,18:24:32,18:24:43,18:30:15
richland sc (10),21,18:23:35,18:24:20,18:24:32,18:28:37
richland sc (10),22,18:30:05,18:30:50,18:31:08,18:34:37
richland sc (10),23,18:31:30,18:32:39,18:33:30,18:37:40
richland sc (10),24,18:35:28,18:36:08,18:36:20,18:37:59
richland sc (10),25,18:36:55,18:38:27,18:39:10,18:41:20
richland sc (10),26,18:39:33,18:43:26,18:44:22,18:47:42
richland sc (10),27,18:45:25,18:46:10,18:46:25,18:47:27
richland sc (10),28,18:47:35,18:48:46,18:48:53,18:51:59
richland sc (11),1,14:06:02,14:07:07,14:07:23,14:08:23
richland sc (11),2,14:10:41,14:11:32,14:12:18,14:14:53
richland sc (11),3,14:15:49,14:17:05,14:17:23,14:19:10
richland sc (11),4,14:19:50,14:20:16,14:21:00,14:22:57
richland sc (11),5,14:23:54,14:24:32,14:25:02,14:26:54
richland sc (11),6,14:29:19,14:33:44,14:33:59,14:36:52
richland sc (11),7,14:38:48,14:40:20,14:40:44,14:42:36
richland sc (11),8,14:43:27,14:44:16,14:44:36,14:46:12
richland sc (11),9,14:47:17,14:47:48,14:48:04,14:49:29
richland sc (11),10,14:51:10,14:51:47,14:52:07,14:55:58
richland sc (11),11,14:59:02,14:59:58,15:00:12,15:02:19
richland sc (11),12,15:02:36,15:03:33,15:03:45,15:05:24
richland sc (11),13,15:06:55,15:07:26,15:07:39,15:09:10
richland sc (11),14,15:14:00,15:14:35,15:15:00,15:16:12
richland sc (11),15,15:16:23,15:17:14,15:17:28,15:18:17
richland sc (11),16,15:18:49,15:19:44,15:25:05,15:28:15
richland sc (11),17,15:30:06,15:30:53,15:31:27,15:33:17
richland sc (11),18,15:33:29,15:33:57,15:34:21,15:36:23
richland sc (11),19,15:40:16,15:41:17,15:41:33,15:42:59
richland sc (11),20,15:43:13,15:43:50,15:44:18,15:45:58
richland sc (11),21,15:49:15,15:50:06,15:50:19,15:51:37
richland sc (11),22,15:56:22,15:56:44,15:56:54,15:57:58
richland sc (12),1,8:59:55,9:00:58,9:01:05,9:02:40
richland sc (12),2,9:05:35,,,
richland sc (12),3,9:08:40,9:09:22,9:09:30,9:12:25
richland sc (12),4,9:14:25,9:17:17,9:17:21,9:27:03
richland sc (12),5,9:17:03,,9:18:45,9:20:13
richland sc (12),6,9:25:16,9:25:34,9:25:40,9:27:51
richland sc (12),7,9:29:07,9:29:47,9:30:03,9:32:23
richland sc (12),8,9:32:37,9:35:29,9:36:05,9:40:29
richland sc (12),9,9:44:29,9:44:57,9:45:05,9:48:12
richland sc (12),10,9:48:31,9:49:07,9:49:17,9:52:16
richland sc (12),11,9:54:04,9:54:40,9:55:00,9:57:27
richland sc (12),12,9:58:08,9:58:47,9:59:10,10:00:13
richland sc (12),13,10:01:24,10:02:13,10:02:28,10:04:50
richland sc (12),14,10:07:07,10:07:43,10:07:57,10:11:15
richland sc (12),15,10:13:51,,,
richland sc (12),16,10:19:27,10:20:07,10:20:19,10:23:02
richland sc (12),17,10:24:14,10:24:50,10:25:02,10:27:16
richland sc (12),18,10:28:15,10:29:01,10:29:13,10:32:25
richland sc (12),19,10:33:00,10:33:53,10:34:12,10:37:33
richland sc (12),20,10:37:56,10:38:30,10:38:49,10:42:40
richland sc (12),21,10:43:30,10:44:05,10:44:13,10:45:52
richland sc (12),22,10:46:25,10:46:54,10:47:06,10:50:30
richland sc (12),23,10:51:50,10:52:45,10:53:25,10:57:05
richland sc (12),24,10:58:25,10:58:50,10:59:10,11:00:37
richland sc (13),1,12:00:35,12:01:00,12:01:40,12:04:55
richland sc (13),2,12:05:15,12:05:35,12:06:30,12:10:20
richland sc (13),3,12:12:15,12:14:20,12:15:10,12:18:00
richland sc (13),4,12:18:10,12:20:20,,
richland sc (13),5,12:25:10,12:25:20,12:25:40,12:28:40
richland sc (13),6,12:31:05,12:31:20,12:31:45,12:36:05
richland sc (13),7,12:37:05,12:37:30,12:37:45,12:40:30
richland sc (13),8,12:40:50,12:41:15,12:42:10,12:45:56
richland sc (13),9,12:49:25,12:50:15,12:51:05,12:54:55
richland sc (13),10,12:56:30,12:56:43,12:57:00,12:59:28
richland sc (13),11,12:59:30,12:59:55,13:00:30,13:02:00
richland sc (13),12,13:03:35,13:04:00,13:04:40,13:06:45
richland sc (13),13,13:04:35,13:24:55,,
richland sc (13),14,13:22:45,13:23:15,13:24:00,13:26:50
richland sc (13),15,13:27:53,13:28:05,13:28:55,13:30:35
richland sc (13),16,13:32:15,13:32:45,13:33:07,13:35:00
richland sc (13),17,13:39:20,13:39:55,13:40:05,13:42:00
richland sc (13),18,13:43:45,13:44:05,13:44:23,13:46:23
richland sc (13),19,13:47:50,13:48:27,13:48:48,13:49:13
richland sc (13),20,13:53:12,13:56:55,,
richland sc (13),21,13:57:52,13:58:55,13:59:52,14:01:00
richland sc (14),1,14:30:20,14:31:24,14:31:40,14:35:23
