filename,number,start.checkin,leave.table,start.voting,end.voting
riley ks (1),1,7:00:11,7:03:10,7:03:38,7:09:20
riley ks (1),2,7:04:10,7:05:25,7:06:06,7:09:52
riley ks (1),3,7:06:47,7:07:53,7:10:03,7:12:14
riley ks (1),4,7:10:26,7:11:30,7:12:26,7:15:33
riley ks (1),5,7:12:46,7:13:42,7:14:24,7:17:23
riley ks (1),6,7:15:40,7:16:38,7:17:07,7:19:27
riley ks (1),7,7:17:39,7:18:26,7:19:13,7:21:11
riley ks (1),8,7:20:06,7:20:34,7:21:48,
riley ks (1),9,7:22:05,7:22:31,7:23:13,7:25:29
riley ks (1),10,7:25:12,7:25:58,7:26:56,7:29:47
riley ks (1),11,7:27:23,7:28:09,7:28:38,7:32:52
riley ks (1),12,7:29:18,,,7:42:33
riley ks (1),13,7:34:48,7:35:59,7:36:36,7:39:54
riley ks (1),14,7:40:26,7:41:10,7:41:34,7:43:20
riley ks (1),15,7:43:10,7:43:47,7:45:30,7:49:46
riley ks (1),16,7:44:46,7:45:50,7:46:53,7:50:33
riley ks (1),17,7:47:45,7:48:02,7:50:50,7:55:49
riley ks (1),18,7:51:43,7:52:36,7:54:57,7:57:30
riley ks (1),19,7:53:14,,7:56:21,7:59:11
riley ks (1),20,7:55:42,7:56:20,7:58:23,8:01:11
riley ks (1),21,7:58:11,7:58:55,8:02:22,
riley ks (10),1,12:20:15,12:20:52,12:21:46,12:24:33
riley ks (10),2,12:24:38,12:26:05,12:29:07,12:31:56
riley ks (10),3,12:37:38,12:38:51,12:39:44,12:45:13
riley ks (10),4,12:47:40,12:48:14,12:48:42,12:50:34
riley ks (10),5,12:51:18,12:51:59,12:52:58,12:56:52
riley ks (10),6,13:03:50,13:05:07,13:05:38,13:08:57
riley ks (10),7,13:09:21,13:10:39,13:11:58,13:15:13
riley ks (10),8,13:15:29,13:16:14,13:17:23,13:19:20
riley ks (11),1,13:12:18,13:14:56,,
riley ks (11),2,13:16:03,13:17:03,13:17:24,13:21:50
riley ks (11),3,13:23:12,13:24:25,13:25:06,13:27:50
riley ks (11),4,13:28:37,13:29:54,,
riley ks (11),5,13:30:00,13:31:13,13:32:20,13:37:32
riley ks (11),6,13:39:51,13:40:43,,
riley ks (11),7,13:41:03,13:41:49,13:52:50,13:57:12
riley ks (11),8,13:41:35,13:43:15,13:45:06,13:48:14
riley ks (11),9,13:46:48,13:47:57,13:49:29,13:52:44
riley ks (11),10,13:54:32,13:55:15,13:57:10,14:00:28
riley ks (11),11,14:02:04,14:03:00,14:04:15,14:09:14
riley ks (12),1,13:45:00,13:45:00,13:46:00,13:52:00
riley ks (12),2,13:52:00,13:53:00,13:53:00,13:57:00
riley ks (12),3,13:57:00,13:58:00,13:59:00,14:03:00
riley ks (12),4,14:04:00,14:04:00,14:05:00,14:09:00
riley ks (12),5,14:16:00,14:17:00,14:18:00,14:26:00
