filename,number,start.checkin,leave.table,start.voting,end.voting
union pa (1),1,6:30:47,6:38:39,,
union pa (1),2,6:52:34,6:59:53,,
union pa (1),3,7:00:46,7:03:30,,
union pa (1),4,7:05:56,7:12:40,,
union pa (1),5,7:14:36,7:20:34,,
union pa (1),6,7:29:29,7:32:30,,
union pa (2),1,12:53:00,12:54:00,,
union pa (2),4,12:59:00,13:05:00,,
union pa (2),5,13:10:00,13:14:00,,
union pa (2),5,13:22:00,13:26:00,,
union pa (2),6,13:14:00,13:20:00,,
union pa (2),7,13:22:00,13:26:00,,
union pa (2),8,13:27:00,13:31:00,,
union pa (2),9,13:32:00,13:40:00,,
union pa (2),10,13:42:00,13:45:00,,
union pa (3),1,15:54:00,,,15:59:00
union pa (3),2,16:00:00,,,16:20:00
union pa (3),3,16:21:00,,,16:27:00
union pa (3),4,16:28:00,,,16:32:00
union pa (3),5,16:33:00,,,16:37:00
union pa (3),6,16:38:00,,,16:43:00
union pa (3),7,16:47:00,,,16:48:00
union pa (3),8,16:49:00,,,16:53:00
union pa (3),9,17:00:00,,,17:07:00
union pa (3),10,17:09:00,,,17:13:00
union pa (4),1,6:34:00,,,6:36:49
union pa (4),2,6:41:00,,,6:48:22
union pa (4),3,6:47:00,,,6:49:37
union pa (4),4,6:54:00,,,6:57:19
union pa (4),5,7:07:00,,,7:09:48
union pa (4),6,7:11:00,,,7:17:03
union pa (4),7,7:17:00,,,7:20:15
union pa (4),8,7:21:00,,,7:25:02
union pa (4),9,7:30:00,,,7:32:37
union pa (4),10,7:44:00,,,7:46:12
union pa (4),11,7:48:00,,,7:54:31
union pa (4),12,7:59:00,,,8:03:21
union pa (5),1,7:43:00,,,7:47:18
union pa (5),2,7:48:05,,,7:51:39
union pa (5),3,7:54:03,,,7:58:46
union pa (5),4,8:00:00,,,8:06:07
union pa (5),6,8:16:20,,,8:19:57
union pa (5),7,8:20:05,,,8:32:38
union pa (6),1,10:04:20,10:09:14,,
union pa (6),2,10:11:41,10:16:43,,
union pa (6),3,10:17:21,10:34:34,,
union pa (6),4,11:03:33,11:13:17,,
union pa (6),5,11:20:30,11:25:38,,
union pa (6),6,11:27:28,,,
union pa (7),1,16:00:00,16:04:41,,
union pa (7),2,16:10:05,16:16:15,,
union pa (7),3,16:38:11,16:39:10,16:39:30,16:40:56
union pa (7),4,16:41:10,16:42:34,16:43:17,16:45:47
union pa (7),5,16:46:01,16:46:33,16:46:57,16:52:03
union pa (7),6,16:47:50,17:02:17,17:02:40,17:03:41
union pa (7),7,17:02:52,17:05:03,17:05:09,17:07:08
union pa (7),8,17:04:49,17:06:17,17:06:22,17:08:08
union pa (7),9,17:06:14,17:08:14,17:08:18,17:10:54
union pa (7),10,17:08:48,17:13:03,17:13:08,17:15:05
union pa (7),11,17:11:53,17:16:55,17:17:03,17:19:31
union pa (7),12,17:12:50,17:14:21,17:14:36,17:16:47
union pa (7),13,17:16:41,17:21:12,17:21:24,17:22:51
union pa (7),15,17:30:34,17:32:43,17:32:45,17:40:36
union pa (7),16,17:42:20,17:44:34,17:44:37,17:48:37
union pa (7),17,17:42:20,17:44:34,17:44:37,17:48:37
union pa (7),18,17:51:36,17:53:34,17:54:35,17:58:29
union pa (7),19,17:59:01,,,
